Incident energy;σ(E)
23.46891;12.99557
23.57214;12.7833
23.67537;12.58622
23.77859;12.40257
23.98505;12.06963
24.08828;11.91793
24.13989;11.84533
24.1528;11.82749
24.1657;11.80979
24.17215;11.80098
24.1786;11.7922
24.18183;11.78782
24.18505;11.78346
24.18828;11.77909
24.1915;11.77474
24.1943;11.77097
24.1971;11.7672
24.1999;11.76344
24.2013;11.76156
24.2027;11.75968
24.20412;11.75778
24.20553;11.75589
24.20835;11.75212
24.21118;11.74834
24.214;11.74457
24.21675;11.74091
24.2195;11.73725
24.22225;11.7336
24.225;11.72995
24.2305;11.72267
24.23599;11.71543
24.24699;11.70098
24.25798;11.68662
24.27997;11.65813
24.30195;11.62997
24.3899;11.52034
24.56579;11.3144
24.74169;11.12394
24.91758;10.94668
25.09348;10.78071
25.26937;10.62445
25.62115;10.3359
25.97294;10.07246
26.32473;9.827747
26.67652;9.596812
26.85241;9.485255
26.89639;9.457693
26.94036;9.430259
26.96235;9.416581
26.97334;9.409756
26.98433;9.402938
26.99533;9.396121
27.00083;9.392714
27.00632;9.389316
27.01182;9.385913
27.01457;9.384212
27.01731;9.382518
27.02006;9.380818
27.02281;9.379119
27.02556;9.37742
27.0283;9.375728
27.03113;9.373981
27.03395;9.37224
27.03678;9.370494
27.03819;9.369624
27.0396;9.368754
27.04102;9.367878
27.04243;9.367008
27.04525;9.365268
27.04808;9.363522
27.0509;9.361782
27.05325;9.360333
27.05559;9.358891
27.05794;9.357442
27.06028;9.356
27.06263;9.354552
27.06497;9.353111
27.06966;9.350223
27.07435;9.347337
27.07904;9.344451
27.08842;9.338684
27.0978;9.332921
27.10718;9.327162
27.12594;9.315657
27.16346;9.292695
27.20097;9.269801
27.35103;9.178768
27.65115;8.998698
28.2514;8.6413
28.85165;8.278397
29.4519;7.89938
30.05215;7.493097
30.35228;7.275822
30.6524;7.046738
30.95253;6.803756
31.25265;6.544526
31.55278;6.266312
31.8529;5.965975
32.15303;5.63981
32.45315;5.283524
32.75328;4.892049
33.0534;4.459569
33.20347;4.225892
33.35353;3.979452
33.50359;3.71934
33.65365;3.444691
33.80372;3.154705
33.95378;2.848831
34.10384;2.526814
34.2539;2.189039
34.40397;1.836936
34.55403;1.473806
34.70409;1.105938
34.85415;0.7448666
34.92919;0.5727868
35.00422;0.4112003
35.04174;0.3358729
35.07925;0.2652423
35.11677;0.2001963
35.13553;0.1701046
35.15428;0.1418451
35.17304;0.1155499
35.1918;0.09141005
35.21056;0.06961483
35.22931;0.05037866
35.24807;0.0339025
35.26683;0.02043715
35.28559;0.01024237
35.29497;0.006458532
35.30434;0.003602275
35.31372;0.0017064
35.31841;0.001132544
35.3231;8.150114E-4
35.32779;7.591379E-4
35.33248;9.703714E-4
35.33717;0.001454274
35.34186;0.002216524
35.35124;0.00459938
35.36062;0.008166806
35.37;0.01296872
35.37937;0.01904998
35.38875;0.02647785
35.39813;0.03530319
35.40751;0.04558515
35.41689;0.05738548
35.42627;0.07076866
35.43565;0.085802
35.44503;0.1025559
35.4544;0.121083
35.46378;0.1414996
35.47316;0.1638673
35.48254;0.18827
35.49192;0.2147955
35.51068;0.2745869
35.52944;0.344029
35.5482;0.4239856
35.56696;0.5154046
35.58572;0.6193279
35.60447;0.7368354
35.62323;0.869315
35.64199;1.018101
35.66075;1.184734
35.6795;1.370811
35.69826;1.578419
35.71702;1.809559
35.73578;2.06656
35.75453;2.351856
35.77329;2.668645
35.79205;3.020017
35.81081;3.409597
35.82956;3.841209
35.84832;4.319886
35.86708;4.850564
35.88584;5.439071
35.90459;6.091641
35.92335;6.81646
35.94211;7.621735
35.96087;8.517214
35.97962;9.513504
35.99838;10.6245
36.01714;11.86448
36.0359;13.25059
36.05465;14.80182
36.07341;16.54303
36.09217;18.50059
36.11093;20.70645
36.12969;23.19837
36.14845;26.02123
36.16721;29.22861
36.18597;32.88492
36.20472;37.06561
36.22348;41.86986
36.24224;47.41176
36.261;53.83485
36.27975;61.31371
36.29851;70.08124
36.31727;80.41963
36.33603;92.69616
36.35478;107.3799
36.37354;125.116
36.3923;146.7398
36.41106;173.3978
36.42044;189.0889
36.42981;206.6601
36.43919;226.4523
36.44857;248.8134
36.45795;274.1864
36.46733;303.1115
36.47671;336.2533
36.48609;374.4357
36.49547;418.6894
36.50484;470.2568
36.51422;530.9087
36.5236;602.7405
36.53298;688.5589
36.54236;792.086
36.55174;918.333
36.56112;1074.16
36.5705;1269.133
36.57519;1385.343
36.57987;1516.565
36.58456;1666.036
36.58925;1836.765
36.59394;2032.767
36.59863;2258.999
36.60332;2521.624
36.60801;2828.351
36.6127;3188.882
36.61739;3615.493
36.62208;4123.786
36.62677;4733.631
36.63146;5470.305
36.63615;6365.739
36.64084;7459.587
36.64553;8799.367
36.65022;10437.99
36.6549;12420.65
36.65839;14142.6
36.66188;16064.11
36.66885;20282.66
36.67234;22343.85
36.67583;24112.77
36.67932;25358.67
36.6828;25890.66
36.6863;25627.52
36.6898;24622.3
36.6933;23049.53
36.6968;21134.37
36.7038;17067.99
36.7073;15175.41
36.7108;13460.05
36.71402;12052.68
36.71724;10806.04
36.72046;9709.08
36.72367;8749.91
36.72689;7906.985
36.73011;7168.399
36.73333;6520.303
36.73654;5952.041
36.73976;5449.344
36.74298;5004.817
36.7462;4610.507
36.74941;4260.657
36.75584;3667.535
36.76227;3188.844
36.76871;2797.325
36.77514;2474.522
36.78157;2205.156
36.788;1978.238
36.79444;1785.129
36.80087;1619.985
36.8073;1477.474
36.81373;1353.66
36.82017;1245.258
36.8266;1150.099
36.83304;1065.856
36.83947;991.1406
36.85234;864.6082
36.8652;762.2729
36.87807;678.1692
36.89093;608.2725
36.9038;549.433
36.91666;499.4798
36.92953;456.6209
36.9424;419.5806
36.95527;387.3332
36.96813;359.0915
36.981;334.1681
36.99386;312.0847
37.00673;292.3866
37.01959;274.7604
37.04533;244.5667
37.07106;219.7737
37.09679;199.1269
37.12252;181.7259
37.14826;166.8996
37.17399;154.1578
37.19972;143.1104
37.22545;133.4594
37.25119;124.9674
37.27692;117.4544
37.30265;110.7672
37.32838;104.784
37.35412;99.403
37.37985;94.54618
37.43131;86.13534
37.48277;79.12216
37.53423;73.19968
37.5857;68.14146
37.63716;63.78047
37.68863;59.98618
37.74009;56.66039
37.79156;53.72356
37.84302;51.11473
37.89449;48.78296
37.94595;46.68866
37.99742;44.79784
38.04888;43.08384
38.10035;41.52318
38.15181;40.09733
38.25474;37.58673
38.35766;35.44966
38.46059;33.61014
38.56352;32.01155
38.66645;30.61044
38.76938;29.37303
38.87231;28.2727
38.97524;27.28824
39.07817;26.40252
39.18109;25.60165
39.28402;24.87401
39.38695;24.21014
39.48988;23.60208
39.5928;23.04317
39.79866;22.05063
40.00451;21.19629
40.21037;20.45306
40.41623;19.80053
40.62209;19.22294
40.82794;18.70795
41.0338;18.24572
41.23966;17.82841
41.44552;17.44961
41.65137;17.10411
42.06309;16.49625
42.4748;15.97791
42.88651;15.52978
43.09237;15.32747
43.14384;15.2789
43.1953;15.2311
43.22103;15.20748
43.2339;15.19574
43.24676;15.18405
43.2532;15.17821
43.25963;15.17239
43.26606;15.16659
43.27249;15.1608
43.27571;15.1579
43.27893;15.155
43.28215;15.15211
43.28536;15.14924
43.28858;15.14635
43.29179;15.14348
43.29501;15.1406
43.29662;15.13917
43.29822;15.13774
43.30104;15.13523
43.30385;15.13273
43.30526;15.13147
43.30666;15.13023
43.30807;15.12897
43.30947;15.12773
43.31088;15.12647
43.31229;15.12521
43.3137;15.12396
43.3151;15.12271
43.31791;15.1202
43.32072;15.1177
43.32253;15.11609
43.32433;15.11449
43.32613;15.1129
43.32793;15.1113
43.33154;15.1081
43.33514;15.10492
43.33875;15.10173
43.34235;15.09855
43.34596;15.09537
43.34956;15.0922
43.35677;15.08586
43.36398;15.07954
43.37119;15.07323
43.3784;15.06693
43.39282;15.05437
43.40724;15.04187
43.43607;15.01704
43.49374;14.96797
43.55141;14.91972
43.78209;14.73434
44.24345;14.39632
44.70482;14.09515
44.82016;14.02482
44.9355;13.9563
44.99317;13.92269
45.02201;13.90604
45.05084;13.8895
45.06526;13.88127
45.07968;13.87306
45.0941;13.86488
45.10131;13.86079
45.10851;13.85673
45.11572;13.85266
45.12293;13.8486
45.12654;13.84657
45.13014;13.84455
45.13375;13.84252
45.13735;13.84051
45.14096;13.83849
45.14456;13.83648
45.14817;13.83446
45.14997;13.83346
45.15177;13.83246
45.15358;13.83146
45.15538;13.83046
45.15718;13.82947
45.15898;13.82848
45.16078;13.82749
45.16258;13.82651
45.16438;13.82553
45.16618;13.82456
45.16759;13.8238
45.169;13.82305
45.17181;13.82155
45.17322;13.8208
45.17462;13.82005
45.17603;13.81928
45.17743;13.81851
45.17884;13.81772
45.18025;13.81692
45.18166;13.8161
45.18306;13.81529
45.18587;13.81366
45.18728;13.81284
45.18868;13.81203
45.19035;13.81107
45.19201;13.81013
45.19367;13.80918
45.19533;13.80825
45.19699;13.80731
45.19865;13.80638
45.20031;13.80545
45.20197;13.80452
45.20529;13.80266
45.20861;13.80082
45.21193;13.79897
45.21525;13.79713
45.21858;13.79529
45.2219;13.79345
45.22522;13.79162
