E	sigma_t	sigma_s
6.63945600E+00	5.53643500E+03	3.14274400E+02
6.64838400E+00	6.40016800E+03	3.73906700E+02
6.65731100E+00	7.09777000E+03	4.25558000E+02
6.66579600E+00	7.52785300E+03	4.61893600E+02
6.67428000E+00	7.67857900E+03	4.81841000E+02
6.67579300E+00	7.67417600E+03	4.83493100E+02
6.68082700E+00	7.59139800E+03	4.84720800E+02
6.68586100E+00	7.40743900E+03	4.79467800E+02
6.69089500E+00	7.13052200E+03	4.68075500E+02
6.69592800E+00	6.77267700E+03	4.51143100E+02
6.70643000E+00	5.83225500E+03	4.01657800E+02
6.71693200E+00	4.75739100E+03	3.40563800E+02
6.72743500E+00	3.69282300E+03	2.76943900E+02
6.73268600E+00	3.20004600E+03	2.46570300E+02
6.73793700E+00	2.74634600E+03	2.18074900E+02
6.74318800E+00	2.33726300E+03	1.91908500E+02
6.74843900E+00	1.97538900E+03	1.68337100E+02
6.75369000E+00	1.66080700E+03	1.47464000E+02
6.75894100E+00	1.39162100E+03	1.29258100E+02
6.76347700E+00	1.19310600E+03	1.15578000E+02
6.76801200E+00	1.02333200E+03	1.03662900E+02
6.77254700E+00	8.79271800E+02	9.33553700E+01
6.77708200E+00	7.57858900E+02	8.44880400E+01
6.78161700E+00	6.56083400E+02	7.68907500E+01
6.78615200E+00	5.71101600E+02	7.03980100E+01
6.79068700E+00	5.00307600E+02	6.48545000E+01
6.79522200E+00	4.41374100E+02	6.01185200E+01
6.79975700E+00	3.92267600E+02	5.60639100E+01
6.80429200E+00	3.51244700E+02	5.25804800E+01
6.80882700E+00	3.16835500E+02	4.95737300E+01
6.81336200E+00	2.87817600E+02	4.69637000E+01
6.81789700E+00	2.63187300E+02	4.46835500E+01
6.82243200E+00	2.42128100E+02	4.26780100E+01
6.82696700E+00	2.23981300E+02	4.09016300E+01
6.83150200E+00	2.08218700E+02	3.93173200E+01
6.83627600E+00	1.93738600E+02	3.78238700E+01
6.84105000E+00	1.81042700E+02	3.64812500E+01
6.85059700E+00	1.59836800E+02	3.41611400E+01
6.86014500E+00	1.42819300E+02	3.22199700E+01
6.86969200E+00	1.28855700E+02	3.05668900E+01
6.88019500E+00	1.16127400E+02	2.90062200E+01
6.89069700E+00	1.05505500E+02	2.76590600E+01
6.90119900E+00	9.65176700E+01	2.64828500E+01
6.91170100E+00	8.88256700E+01	2.54461700E+01
6.92220400E+00	8.21786000E+01	2.45250400E+01
6.93270600E+00	7.63881600E+01	2.37010700E+01
6.94320800E+00	7.13071800E+01	2.29594800E+01
6.95371000E+00	6.68204300E+01	2.22884900E+01
6.97471500E+00	5.92790500E+01	2.11214400E+01
